date,close
2011-01-31,91.7
2011-02-28,91.7
2011-03-31,91.7
2011-04-29,91.7
2011-05-31,91.71
2011-06-30,91.72
2011-07-29,91.72
2011-08-31,91.72
2011-09-30,91.7
2011-10-31,91.66
2011-11-30,91.68
2011-12-30,91.66
2012-01-31,91.64
2012-02-29,91.66
2012-03-30,91.64
2012-04-30,91.66
2012-05-31,91.66
2012-06-29,91.62
2012-07-31,91.62
2012-08-31,91.63
2012-09-28,91.62
2012-10-31,91.64
2012-11-30,91.62
2012-12-31,91.62
2013-01-31,91.62
2013-02-28,91.62
2013-03-28,91.62
2013-04-30,91.6
2013-05-31,91.62
2013-06-28,91.6
2013-07-31,91.6
2013-08-30,91.6
2013-09-30,91.58
2013-10-31,91.56
2013-11-29,91.54
2013-12-31,91.54
2014-01-31,91.54
2014-02-28,91.56
2014-03-31,91.54
2014-04-30,91.54
2014-05-30,91.54
2014-06-30,91.52
2014-07-31,91.5
2014-08-29,91.52
2014-09-30,91.52
2014-10-31,91.5
2014-11-28,91.5
2014-12-31,91.48
2015-01-30,91.46
2015-02-27,91.46
2015-03-31,91.46
2015-04-30,91.44
2015-05-29,91.42
2015-06-30,91.42
2015-07-31,91.42
2015-08-31,91.42
2015-09-30,91.38
2015-10-30,91.36
2015-11-30,91.38
2015-12-31,91.36
2016-01-29,91.38
2016-02-29,91.38
2016-03-31,91.38
2016-04-29,91.42
2016-05-31,91.42
2016-06-30,91.4
2016-07-29,91.44
2016-08-31,91.44
2016-09-30,91.46
2016-10-31,91.48
2016-11-30,91.44
2016-12-30,91.4
2017-01-31,91.44
2017-02-28,91.46
2017-03-31,91.42
2017-04-28,91.46
2017-05-31,91.44
2017-06-30,91.48
2017-07-31,91.46
2017-08-31,91.5
2017-09-29,91.5
2017-10-31,91.5
2017-11-30,91.48
2017-12-29,91.4
2018-01-31,91.52
2018-02-28,91.51
2018-03-29,91.55
2018-04-30,91.54
2018-05-31,91.57
2018-06-29,91.58
2018-07-31,91.58
2018-08-31,91.59
2018-09-28,91.58
2018-10-31,91.59
2018-11-30,91.61
2018-12-31,91.46
2019-01-31,91.62
2019-02-28,91.61
2019-03-29,91.6
2019-04-30,91.6
2019-05-31,91.62
2019-06-28,91.61
2019-07-31,91.61
2019-08-30,91.61
2019-09-30,91.59
2019-10-31,91.6
2019-11-29,91.56
2019-12-31,91.43
2020-01-31,91.54
2020-02-28,91.54
2020-03-31,91.63
2020-04-30,91.56
2020-05-29,91.53
2020-06-30,91.53
2020-07-31,91.54
2020-08-31,91.54
2020-09-30,91.52
2020-10-30,91.53
2020-11-30,91.52
2020-12-31,91.52
2021-01-29,91.52
2021-02-26,91.51
2021-03-31,91.5
2021-04-30,91.5
2021-05-28,91.49
2021-06-30,91.47
2021-07-30,91.46
2021-08-31,91.45
2021-09-30,91.46
2021-10-29,91.45
2021-11-30,91.43
2021-12-31,91.43
2022-01-31,91.43
2022-02-28,91.41
2022-03-31,91.43
2022-04-29,91.42
2022-05-31,91.45
2022-06-30,91.49
2022-07-29,91.47
2022-08-31,91.55
2022-09-30,91.6
2022-10-31,91.59
2022-11-30,91.67
2022-12-30,91.47
2023-01-31,91.73
2023-02-28,91.71
2023-03-31,91.82
2023-04-28,91.78
2023-05-31,91.77
2023-06-30,91.82
2023-07-31,91.8
2023-08-31,91.86
2023-09-29,91.82
2023-10-31,91.82
2023-11-30,91.84
2023-12-29,91.39
2024-01-31,91.78
2024-02-29,91.78
2024-03-28,91.8
2024-04-30,91.79
2024-05-31,91.82
2024-06-28,91.78
2024-07-31,91.8
2024-08-30,91.82
2024-09-30,91.81
2024-10-31,91.8
2024-11-29,91.78
2024-12-31,91.43
2025-01-31,91.75
2025-02-28,91.72
2025-03-31,91.73
2025-04-30,91.72
2025-05-30,91.74
2025-06-30,91.73
2025-07-31,91.75
2025-08-29,91.77
2025-09-30,91.75
2025-10-31,91.76
2025-11-28,91.72
2025-12-31,91.38
2026-01-30,91.65
2026-02-27,91.62
2026-03-31,91.64
2026-04-08,91.45
